Sources	BLS10_2.fastq	BLS10_7.fastq	BLS10_m1.fastq	BLS11_2.fastq	BLS11_7.fastq	BLS11_m1.fastq	BLS12_2.fastq	BLS12_7.fastq	BLS12_m1.fastq	BLS13_2.fastq	BLS13_7.fastq	BLS13_m1.fastq	BLS1_2.fastq	BLS1_7.fastq	BLS1_m1.fastq	BLS2_2.fastq	BLS2_7.fastq	BLS2_m1.fastq	BLS3_2.fastq	BLS3_7.fastq	BLS3_m1.fastq	BLS4_2.fastq	BLS4_7.fastq	BLS4_m1.fastq	BLS5_2.fastq	BLS5_7.fastq	BLS5_m1.fastq	BLS6_2.fastq	BLS6_7.fastq	BLS6_m1.fastq	BLS7_2.fastq	BLS7_7.fastq	BLS7_m1.fastq	BLS8_2.fastq	BLS8_7.fastq	BLS8_m1.fastq	BLS9_2.fastq	BLS9_7.fastq	BLS9_m1.fastq	BSN10_2.fastq	BSN10_7.fastq	BSN10_m1.fastq	BSN11_2.fastq	BSN11_7.fastq	BSN11_m1.fastq	BSN12_2.fastq	BSN12_7.fastq	BSN12_m1.fastq	BSN13_2.fastq	BSN13_7.fastq	BSN13_m1.fastq	BSN1_2.fastq	BSN1_7.fastq	BSN1_m1.fastq	BSN2_2.fastq	BSN2_7.fastq	BSN2_m1.fastq	BSN3_2.fastq	BSN3_7.fastq	BSN3_m1.fastq	BSN4_2.fastq	BSN4_7.fastq	BSN4_m1.fastq	BSN5_2.fastq	BSN5_7.fastq	BSN5_m1.fastq	BSN6_2.fastq	BSN6_7.fastq	BSN6_m1.fastq	BSN7_2.fastq	BSN7_7.fastq	BSN7_m1.fastq	BSN8_2.fastq	BSN8_7.fastq	BSN8_m1.fastq	BSN9_2.fastq	BSN9_7.fastq	BSN9_m1.fastq	INF1.fastq	INF10.fastq	INF2.fastq	INF3.fastq	INF4.fastq	INF5.fastq	INF6.fastq	INF7.fastq	INF8.fastq	INF9.fastq	X3_STUF.fastq	X4_STUF.fastq	X5_STRA.fastq	X6_STRA.fastq
BLS13_7.fastq	0.2099802	0.1855999	0.19938637	0.22899312	0.16273807	0.21132998	0.21593304	0.14971411	0.23350906	0.19957384	-0	0.22007845	0.21146874	0.19497597	0.20188387	0.21621104	0.19242735	0.2462123	0.2216829	0.19045149	0.21181825	0.19597282	0.19576159	0.21210544	0.20581445	0.2037085	0.1980949	0.19226152	0.18752314	0.20274334	0.19151965	0.18800342	0.19597866	0.19393891	0.211642	0.18007614	0.21839744	0.19973238	0.16449676	0.19457367	0.228751	0.14673164	0.20916812	0.21249051	0.18964474	0.18917866	0.23386957	0.21019359	0.2301087	0.20647009	0.21461444	0.21828714	0.20766465	0.1644212	0.201587	0.22181012	0.20576862	0.2260641	0.19364578	0.19962753	0.19641806	0.21751818	0.22044381	0.1871468	0.20995572	0.23879547	0.19481823	0.23677951	0.2214502	0.18869261	0.2271888	0.21520782	0.1891132	0.24038811	0.19260682	0.2158703	0.20138057	0.22310978	0.24170624	0.23230264	0.20431574	0.2608489	0.25917238	0.21632384	0.22471459	0.23399833	0.21267429	0.23907086	0.28363678	0.26176116	0.23164454	0.24671811
BLS13_m1.fastq	0.17830677	0.17415465	0.21212403	0.17488435	0.19160403	0.18114598	0.19984181	0.22662532	0.18496023	0.20174183	0.22007845	-0	0.18993734	0.18439819	0.18786597	0.17361593	0.17179038	0.17125015	0.18685263	0.20157906	0.1892561	0.23285627	0.18600309	0.19227676	0.18524767	0.1766097	0.2022813	0.19290844	0.20369576	0.19452617	0.17029026	0.23826094	0.20010397	0.17380504	0.1776064	0.18882129	0.16669814	0.16420566	0.1800423	0.176111	0.18555006	0.22060743	0.1779592	0.17990583	0.17666686	0.20701447	0.1637397	0.16760741	0.19005373	0.18372044	0.17073844	0.1722448	0.17971578	0.2024191	0.17966023	0.19104406	0.18027063	0.17458846	0.18044287	0.1746533	0.16205172	0.1623228	0.18180703	0.18932863	0.17697406	0.17391303	0.18116598	0.17545158	0.14268185	0.17941648	0.19607936	0.17926303	0.19304755	0.16086477	0.18063106	0.16459905	0.15471204	0.1821768	0.2881117	0.21988592	0.23328911	0.24619049	0.21872382	0.22595811	0.22307687	0.24329184	0.2599952	0.22620243	0.22168754	0.20842634	0.2176954	0.24728116
BLS1_2.fastq	0.20250739	0.19411601	0.19125953	0.21730794	0.17662911	0.18067588	0.19579642	0.16613276	0.19351758	0.1714009	0.21146874	0.18993734	-0	0.17479852	0.17176011	0.15839395	0.18285157	0.19275257	0.2046581	0.22314371	0.17146079	0.1775252	0.16088226	0.18632044	0.19232589	0.16997546	0.17623065	0.17979918	0.16372363	0.17951311	0.20699567	0.16081168	0.16771044	0.18738772	0.20462534	0.18629141	0.19790122	0.193755	0.203592	0.17795968	0.18456396	0.17231348	0.18461375	0.1650177	0.17475428	0.19089979	0.18426688	0.20292972	0.21830133	0.1995911	0.17290096	0.19534163	0.17902105	0.18133464	0.17538443	0.19462202	0.19209875	0.16616508	0.18161799	0.17404437	0.17063852	0.13589174	0.17526548	0.17300534	0.17716525	0.17881705	0.17790873	0.18255334	0.18676102	0.19367605	0.17612202	0.21801968	0.17464042	0.18460496	0.1571549	0.19141194	0.16410647	0.16490915	0.29674083	0.19565155	0.19160767	0.24731193	0.2695919	0.23507684	0.24228932	0.26819322	0.23851304	0.22762826	0.20511146	0.22620882	0.24275638	0.25765502
BLS1_7.fastq	0.16611497	0.18049826	0.19911802	0.20030712	0.20753774	0.18729267	0.18601932	0.20439745	0.1791538	0.19373982	0.19497597	0.18439819	0.17479852	-0	0.17519785	0.16015978	0.16163044	0.1799271	0.17240234	0.17587592	0.17616886	0.15380764	0.16344808	0.17347576	0.15381661	0.17529923	0.19722496	0.17891607	0.18077612	0.1836743	0.17547339	0.197938	0.19535471	0.17877793	0.16769174	0.16648479	0.18032135	0.18232764	0.1935694	0.17069015	0.17770955	0.19680999	0.17857158	0.17277259	0.19296804	0.18713951	0.18637984	0.18230636	0.19651507	0.15616389	0.1685022	0.17695235	0.18881595	0.18426022	0.16596033	0.19475912	0.16971011	0.17821972	0.16766597	0.16914497	0.15623364	0.1765784	0.1795091	0.16042794	0.16695601	0.16773365	0.16240853	0.18363732	0.19076149	0.17723249	0.18461639	0.17918572	0.19067681	0.18099873	0.16882001	0.15932648	0.19607686	0.18691176	0.24530092	0.20469965	0.2283382	0.22988915	0.2289037	0.21184897	0.20774092	0.218472	0.21562517	0.23778701	0.1889364	0.18838042	0.2099931	0.19764051
BLS1_m1.fastq	0.1667475	0.16455398	0.16441588	0.19351526	0.18568552	0.17877328	0.17684034	0.17538752	0.1926418	0.17268027	0.20188387	0.18786597	0.17176011	0.17519785	-0	0.1592973	0.20239058	0.1606486	0.20239568	0.19722496	0.17079462	0.1861454	0.18339743	0.16341156	0.1967518	0.18114598	0.16672634	0.17644472	0.17764035	0.17358889	0.16428897	0.1647343	0.16322616	0.14432561	0.20395985	0.16711861	0.14145064	0.16849919	0.16432181	0.13419044	0.18846288	0.17054722	0.13804281	0.19016603	0.17671013	0.17367321	0.1949073	0.1532603	0.18225895	0.1950035	0.14334404	0.18161024	0.17816211	0.1737045	0.17167498	0.16729467	0.18174103	0.18211275	0.17386916	0.17291746	0.16899902	0.16454315	0.17632493	0.19587825	0.16467898	0.16687949	0.17182933	0.20485538	0.17080434	0.18556213	0.17756708	0.18069741	0.18154812	0.17368802	0.18655305	0.1407376	0.17387252	0.18054135	0.24923815	0.19066654	0.19212909	0.24634747	0.21283375	0.22681822	0.21531412	0.235291	0.2345103	0.22480738	0.20708686	0.20614633	0.23959811	0.23551656
BLS2_2.fastq	0.1736803	0.16795899	0.19204037	0.19223662	0.2078427	0.17392312	0.1592788	0.2003286	0.1680642	0.19353189	0.21621104	0.17361593	0.15839395	0.16015978	0.1592973	-0	0.1893198	0.16449583	0.17830364	0.20089425	0.17247736	0.17370889	0.15689328	0.1637478	0.17905898	0.15091106	0.21117577	0.17064875	0.1749767	0.1760939	0.17096509	0.18037371	0.16875662	0.17438638	0.18647844	0.18646726	0.16774318	0.17344925	0.19541247	0.16576794	0.1777034	0.19234005	0.15468793	0.17025687	0.18607968	0.18971677	0.16401885	0.16221978	0.17610155	0.16676463	0.16832328	0.17317753	0.1843104	0.1827668	0.17656176	0.16483593	0.17226954	0.17028087	0.15886214	0.1495134	0.17207138	0.15362976	0.17529923	0.18966599	0.12371485	0.16500545	0.17852233	0.15586568	0.1671402	0.19412075	0.16658527	0.16203982	0.17485383	0.16139653	0.1750811	0.16942795	0.15921564	0.15853369	0.24680892	0.20701154	0.23972113	0.21555765	0.20535061	0.20641811	0.2248135	0.18670468	0.23277771	0.22834504	0.18477356	0.1818737	0.2119653	0.21247032
BLS2_7.fastq	0.19035746	0.19238405	0.19792071	0.18462722	0.17771073	0.16642252	0.22351238	0.20246245	0.18183443	0.18301344	0.19242735	0.17179038	0.18285157	0.16163044	0.20239058	0.1893198	-0	0.21814981	0.18821807	0.17076433	0.20240891	0.20020324	0.20147942	0.1909226	0.12600754	0.1916996	0.19905506	0.18066137	0.21356522	0.20693639	0.1762424	0.1837116	0.21789913	0.18563859	0.18635507	0.19470574	0.18387415	0.18710022	0.18595509	0.1753673	0.19109027	0.22507295	0.18107294	0.17493938	0.1802778	0.21488422	0.17812881	0.19853096	0.21472327	0.17580967	0.19608396	0.18529314	0.1785107	0.17614633	0.16318119	0.19188128	0.18414305	0.1823383	0.18021435	0.18415113	0.15212104	0.19013366	0.1844833	0.18545456	0.16755378	0.1694581	0.14128403	0.19663152	0.17240073	0.16071911	0.18118705	0.17903434	0.19008742	0.17591813	0.16003035	0.1895773	0.17743953	0.17894332	0.29206857	0.21335411	0.26564535	0.2506386	0.24726066	0.20802413	0.226163	0.2164221	0.21402375	0.23907405	0.20786743	0.22448732	0.2271998	0.2620938
BLS2_m1.fastq	0.16481963	0.18660289	0.17032105	0.14547798	0.21236534	0.19249281	0.16118792	0.217793	0.1889116	0.15377614	0.2462123	0.17125015	0.19275257	0.1799271	0.1606486	0.16449583	0.21814981	-0	0.19704159	0.21542764	0.18052432	0.1938947	0.19764008	0.18080474	0.19211836	0.17737886	0.20210569	0.19875985	0.19343035	0.1590495	0.17121072	0.19892083	0.19054508	0.1579574	0.1886853	0.16770317	0.15198119	0.16004534	0.19688843	0.15573305	0.19277975	0.19139132	0.15413089	0.18719535	0.18846256	0.1691533	0.1794342	0.14526038	0.1904775	0.18592669	0.15921365	0.20488343	0.1741282	0.16785534	0.18728438	0.15296556	0.16919826	0.16300847	0.16355969	0.17908537	0.18663314	0.17858033	0.19551677	0.20014146	0.17081407	0.1784441	0.21083777	0.17784007	0.1683118	0.20532382	0.18541819	0.19306889	0.20216782	0.16968432	0.21972853	0.15855399	0.16427994	0.16709192	0.24704011	0.22572717	0.2346763	0.2569057	0.24641727	0.24227703	0.23359479	0.26243973	0.23611139	0.23557356	0.20900889	0.20960917	0.23428616	0.2365832
BLS3_2.fastq	0.19318917	0.19722886	0.20338023	0.18580756	0.19645911	0.19316126	0.19621062	0.25289822	0.18335654	0.21419372	0.2216829	0.18685263	0.2046581	0.17240234	0.20239568	0.17830364	0.18821807	0.19704159	-0	0.19432579	0.18981136	0.19422725	0.20066805	0.18737079	0.18197505	0.19679244	0.23794472	0.21588811	0.21204972	0.2001961	0.19246998	0.2330812	0.2271207	0.1985748	0.18292879	0.18712652	0.1903883	0.2036523	0.23948199	0.19681256	0.20055339	0.23136048	0.19921106	0.17717083	0.1982387	0.23564352	0.16691409	0.18907143	0.17566249	0.13368309	0.18839195	0.1871487	0.20524694	0.18916143	0.2112548	0.1960961	0.1924857	0.1884411	0.1856141	0.18865505	0.16260505	0.1761984	0.21316075	0.19143404	0.17607391	0.19168608	0.18546268	0.17295718	0.19013679	0.19032244	0.17421079	0.19746175	0.20569688	0.17930773	0.19110532	0.20553085	0.20052166	0.18047944	0.2621393	0.2157606	0.28303468	0.23268892	0.23220485	0.2417632	0.24000624	0.24220163	0.2694081	0.24537428	0.17934701	0.19770429	0.20777461	0.20275569
BLS3_7.fastq	0.23866807	0.19090977	0.20947947	0.22382881	0.16734649	0.2143838	0.19787022	0.19322899	0.22731437	0.19047715	0.19045149	0.20157906	0.22314371	0.17587592	0.19722496	0.20089425	0.17076433	0.21542764	0.19432579	-0	0.20435089	0.1697518	0.1947772	0.19476435	0.15726843	0.21530423	0.18026268	0.135298	0.19085102	0.20175032	0.1920341	0.19791317	0.20753774	0.20837724	0.22597715	0.19054368	0.19381307	0.20079815	0.21667102	0.17521316	0.1808884	0.20603438	0.18021742	0.18875688	0.21129304	0.18853432	0.21634425	0.20061645	0.21275638	0.19804059	0.1955069	0.1892209	0.24579841	0.1885128	0.17428805	0.20042284	0.2172118	0.18764366	0.1837367	0.18876389	0.16735145	0.18760279	0.19577734	0.19603461	0.19828215	0.1874805	0.19355316	0.18750101	0.20086122	0.18069275	0.19342187	0.19025776	0.20783846	0.18160331	0.17809673	0.19924937	0.22546764	0.18585716	0.34068868	0.20258722	0.21655303	0.23442349	0.22926167	0.22218354	0.18714426	0.22035208	0.20568955	0.25499043	0.24390276	0.22639172	0.26294568	0.27330807
